代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
300844,山水比德,29.17,2.17,1.26,6006095.0,3.04,-15.41,1885548800.0,488889200.0,30.28,27.16,2111.0,29.17,28.1,28.59,28.55
300389,艾比森,14.83,7.0,3.44,76845793.0,3.13,26.3,5338713586.0,2307303038.0,69.87,62.97,53511.0,14.83,13.91,14.0,13.86
300985,致远新能,29.69,1.64,5.58,58073936.21,3.09,-252.97,3958668646.0,1078738646.0,41.79,38.48,20290.0,29.86,28.07,28.68,29.21
300964,本川智能,55.9,-0.85,5.39,96624099.6,3.16,86.1,4320974076.0,1839615001.0,108.66,100.07,17725.0,55.9,53.88,55.6,56.38
688292,浩瀚深度,33.77,4.42,5.31,62780107.0,3.02,112.54,5306842945.0,1220219245.0,120.0,96.68,19175.0,33.98,31.79,31.92,32.34
688120,华海清科,345.0,3.17,1.29,111313717.0,3.14,71.39,36800011500.0,8925434970.0,53.64,47.94,3327.0,345.0,325.01,332.0,334.4
837092,汉鑫科技,17.28,8.07,1.81,3878335.7,3.1,69.5,827642880.0,221545653.0,26.13,25.76,2322.0,17.28,16.2,16.2,15.99
688699,明微电子,67.48,7.61,3.98,134396597.0,3.04,698.86,7427161907.0,3535092575.0,47.05,41.79,20868.0,67.48,62.7,63.66,62.71
000779,甘咨询,13.7,4.58,1.4,69390098.3,3.24,25.38,5207303500.0,5152039454.0,39.51,34.45,52477.0,13.7,12.92,13.1,13.1
300302,同有科技,11.32,1.25,6.98,275247448.03,3.0,1206.74,5484832033.0,4090011156.0,65.5,58.77,252185.0,11.35,10.75,10.88,11.18
688244,永信至诚,90.7,6.76,14.2,120299686.0,3.07,83.18,4247599182.0,864489636.0,66.42,54.23,13539.0,95.44,85.61,95.44,84.96
839946,华阳变速,2.85,1.42,0.01,19625.0,3.26,-58.59,384722763.0,227376622.0,-5.32,-5.32,71.0,2.85,2.76,2.78,2.81
601789,宁波建工,5.79,7.42,5.2,315090022.0,3.02,18.05,6292563836.0,6292563836.0,34.03,31.0,564926.0,5.79,5.34,5.37,5.39
831961,创远信科,10.65,5.13,0.04,457497.36,3.5,65.96,1521251410.0,1101496815.0,-0.65,-2.38,439.0,10.65,10.17,10.17,10.13
300458,全志科技,32.1,13.23,7.64,1165430674.49,3.02,95.93,20246328290.0,16292410597.0,57.66,54.33,387802.0,32.1,28.54,28.6,28.35
300046,台基股份,19.55,4.83,2.77,123040005.1,3.06,110.4,4636700303.0,4624188303.0,32.18,29.21,65455.0,19.55,18.31,18.58,18.65
688318,财富趋势,177.76,5.26,8.52,419866992.0,3.06,108.04,16591762880.0,5122457481.0,99.39,96.25,24545.0,177.77,165.11,172.3,168.88
300042,朗科科技,29.1,0.07,4.25,210483910.88,3.08,111.9,5831640000.0,5072904438.0,139.7,131.87,74027.0,29.38,28.0,29.2,29.08
002725,跃岭股份,10.45,2.55,2.61,53302935.0,3.26,126.79,2675200000.0,2099150511.0,29.98,26.97,52415.0,10.45,10.05,10.16,10.19
600605,汇通能源,14.15,5.36,1.91,54039467.0,3.59,314.95,2918896370.0,2918896370.0,38.18,35.28,39432.0,14.16,13.16,13.37,13.43
002210,飞马国际,2.31,4.52,0.42,24757531.12,3.59,868.09,6147447708.0,6143325062.0,-0.86,-1.7,110602.0,2.31,2.2,2.21,2.21
300077,国民技术,19.68,1.97,4.4,465928745.47,3.14,2908.97,11722155840.0,10924161360.0,41.08,38.49,244507.0,19.68,18.9,18.91,19.3
301203,N国泰环,41.53,-9.97,23.03,160004166.7,3.05,22.34,3322400000.0,708821332.0,-9.97,-9.97,39310.0,44.95,40.0,44.95,46.13
688047,龙芯中科,168.65,10.02,5.16,267282335.0,3.34,1331.23,67628650000.0,5531720000.0,97.37,90.14,16930.0,168.65,152.23,154.98,153.29
688027,国盾量子,172.0,10.55,4.28,327794966.0,3.02,-172.34,13797998240.0,8078998240.0,68.88,60.7,20119.0,172.0,154.03,155.22,155.59
001368,通达创智,30.6,9.99,24.08,197719506.95,3.24,26.04,3427200000.0,856800000.0,21.77,21.77,67437.0,30.6,27.65,27.88,27.82
839790,联迪信息,7.19,2.13,4.98,7780459.53,3.9,48.93,567772874.0,161663972.0,28.39,27.48,11201.0,7.19,6.8,7.08,7.04
688300,联瑞新材,73.35,6.51,0.61,53932813.0,3.18,48.58,9143915891.0,9143915891.0,50.68,47.26,7549.0,73.35,68.5,69.49,68.87
688182,灿勤科技,19.5,12.72,6.34,110671021.0,3.07,98.24,7800000000.0,1872000000.0,69.86,62.64,60840.0,19.5,17.04,17.43,17.3
300303,聚飞光电,5.5,14.35,8.8,575484615.92,3.0,39.22,7382588532.0,6894130969.0,40.31,37.16,1103448.0,5.5,5.07,5.21,4.81
300211,亿通科技,10.09,1.51,0.82,24126111.0,3.17,122.01,3060899605.0,3006081654.0,37.84,28.7,24482.0,10.09,9.75,9.94,9.94
688502,茂莱光学,234.98,5.92,8.52,229809063.0,3.05,210.23,12406944000.0,2834194821.0,237.03,237.03,10280.0,234.98,213.2,217.0,221.85
300962,中金辐照,17.1,3.51,0.89,17843897.56,3.14,38.52,4514432439.0,2067423499.0,12.13,9.97,10712.0,17.1,16.45,16.65,16.52
300374,中铁装配,15.55,10.28,6.82,188694436.25,3.19,-14.71,3823936840.0,2942848758.0,17.09,13.5,129027.0,15.55,13.87,14.05,14.1
603017,中衡设计,11.35,4.51,1.15,34328133.0,4.42,28.55,3131530580.0,3131530580.0,23.91,22.04,31707.0,11.35,10.67,10.84,10.86
300114,中航电测,50.7,2.01,2.7,786004608.71,3.15,155.29,29951557299.0,29951557299.0,394.15,380.11,159498.0,50.79,48.5,49.5,49.7
300847,中船汉光,15.42,-0.45,4.51,102725137.5,3.01,41.99,4564474200.0,2328826903.0,-2.41,-12.09,68045.0,15.53,14.87,15.45,15.49
601858,中国科传,20.26,3.47,2.9,442094309.0,3.31,42.83,16015530000.0,16015530000.0,87.42,78.98,228891.0,20.3,18.76,19.3,19.58
300229,拓尔思,34.31,1.51,7.76,2061370765.75,3.0,197.25,27286466839.0,27265479446.0,192.75,165.97,617058.0,34.6,32.5,33.34,33.8
002401,中远海科,24.55,2.38,7.79,700086042.2,3.02,50.19,9130256948.0,9032455419.0,123.18,102.89,286722.0,25.88,23.53,23.67,23.98
300570,太辰光,30.68,2.51,7.3,419586702.11,3.02,39.19,7056301824.0,5946738455.0,112.17,102.51,141548.0,30.68,29.01,29.11,29.93
300252,金信诺,11.0,2.61,4.47,211652410.7,3.09,128.0,7283692174.0,4865401530.0,49.25,44.74,197923.0,11.0,10.51,10.67,10.72
688023,安恒信息,238.25,12.22,2.43,428735288.0,3.0,-74.64,18780388609.0,18780388609.0,20.33,9.75,19194.0,238.25,212.54,212.54,212.3
301041,金百泽,24.15,8.49,10.75,125576836.13,3.43,78.07,2576322000.0,1236450247.0,26.24,24.04,55039.0,24.15,21.9,22.21,22.26
300311,任子行,8.69,4.07,8.45,376328197.41,4.7,-205.77,5853846004.0,4650065405.0,42.93,36.42,452367.0,8.7,8.09,8.27,8.35
300588,熙菱信息,13.11,2.26,8.45,147100332.94,3.15,-39.3,2521984203.0,1788047073.0,42.35,35.43,115283.0,13.14,12.43,12.72,12.82
300449,汉邦高科,6.92,4.85,8.01,160608111.8,3.44,-26.0,2063951581.0,2049497846.0,47.55,39.52,237169.0,6.99,6.52,6.9,6.6
688228,开普云,63.27,2.71,4.83,196293006.0,3.05,63.52,4247532749.0,4247532749.0,100.22,86.75,32429.0,63.27,59.14,60.03,61.6
300235,方直科技,15.87,0.89,7.13,147771945.61,3.19,114.16,2663479398.0,2131002366.0,52.89,45.86,95685.0,15.87,15.06,15.86,15.73
300369,绿盟科技,15.88,10.2,7.14,781427896.23,3.05,-37.45,12681520478.0,11664996246.0,55.53,40.16,524303.0,16.0,14.3,14.56,14.41
688262,国芯科技,76.7,6.9,3.24,451366575.0,3.34,221.99,18408000000.0,14352915486.0,83.45,62.67,60675.0,77.55,71.02,72.7,71.75
300353,东土科技,14.54,2.97,7.25,444835917.01,3.05,-101.24,7751523812.0,6381996355.0,63.0,44.97,318184.0,14.6,13.52,14.3,14.12
688365,光云科技,22.5,-1.66,9.59,358809904.0,3.12,-57.07,9581055390.0,3832036200.0,184.81,160.72,163272.0,22.55,21.0,22.2,22.88
688004,博汇科技,37.11,8.32,7.18,100137099.0,3.66,-74.17,2107848000.0,1478585605.0,79.1,71.33,28619.0,37.11,33.8,34.43,34.26
688191,智洋创新,19.75,3.4,6.88,93029966.0,3.57,108.56,3031872803.0,1407216552.0,55.76,49.39,49043.0,19.77,18.5,19.28,19.1
002681,奋达科技,5.07,7.64,7.59,464432825.09,3.05,50.25,9251064833.0,6433892604.0,34.48,33.77,962580.0,5.08,4.68,4.7,4.71
002229,鸿博股份,16.32,2.19,17.52,1385557103.33,3.1,-108.34,8132978372.0,8048441392.0,145.41,135.16,864127.0,16.52,15.4,16.01,15.97
300688,创业黑马,35.96,-1.05,19.14,917012395.92,3.01,-70.09,6018965525.0,4876376477.0,115.07,105.13,259608.0,36.4,34.0,35.8,36.34
