,symbol,name,abbreviation,ts_code,area,industry,list_date
3765,000801,四川九洲,scjz,000801.SZ,四川,家用电器,19980506
3766,399683,深成可选消费行业指数,sckx,,,,
3767,600039,四川路桥,sclq,600039.SH,四川,建筑工程,20030325
3768,000731,四川美丰,scmf,000731.SZ,四川,农药化肥,19970617
3769,399680,深成能源行业指数,scny,,,,
3770,000935,四川双马,scsm,000935.SZ,四川,水泥,19990824
3771,300554,三超新材,scxc,300554.SZ,江苏,矿物制品,20170421
3772,399684,深成主要消费行业指数,scxf,,,,
3773,399678,深证次新股指数,scxg,,,,
3774,399687,深成信息技术行业指数,scxx,,,,
3775,300078,思创医惠,scyh,300078.SZ,浙江,软件服务,20100430
3776,399685,深成医药卫生行业指数,scyy,,,,
3777,002693,双成药业,scyy,002693.SZ,海南,生物制药,20120808
3778,300144,宋城演艺,scyy,300144.SZ,浙江,旅游景点,20101209
3779,BK0967,水产养殖,scyz,,,,
3780,399659,深成指EW,sczew,,,,
3781,300066,三川智慧,sczh,300066.SZ,江西,电器仪表,20100326
3782,601136,首创证券,sczq,601136.SH,北京,证券,20221222
3783,399002,深成指R,sczr,,,,
3784,603290,斯达半导,sdbd,603290.SH,浙江,半导体,20200204
3785,BK0164,山东板块,sdbk,,,,
3786,605006,山东玻纤,sdbx,605006.SH,山东,玻璃,20200903
3787,601019,山东出版,sdcb,601019.SH,山东,出版业,20171122
3788,600551,时代出版,sdcb,600551.SH,安徽,出版业,20020905
3789,688187,时代电气,sddq,688187.SH,湖南,运输设备,20210907
3790,688579,山大地纬,sddw,688579.SH,山东,软件服务,20200717
3791,600077,宋都股份,sdgf,600077.SH,浙江,全国地产,19970520
3792,600820,隧道股份,sdgf,600820.SH,上海,建筑工程,19940128
3793,600626,申达股份,sdgf,600626.SH,上海,汽车配件,19930107
3794,600350,山东高速,sdgs,600350.SH,山东,路桥,20020318
3795,600022,山东钢铁,sdgt,600022.SH,山东,普钢,20040629
3796,002810,山东赫达,sdhd,002810.SZ,山东,化工原料,20160826
3797,000822,山东海化,sdhh,000822.SZ,山东,化工原料,19980703
3798,600547,山东黄金,sdhj,600547.SH,山东,黄金,20030828
3799,603021,山东华鹏,sdhp,603021.SH,山东,家居用品,20150423
3800,600702,舍得酒业,sdjy,600702.SH,四川,白酒,19960524
3801,300806,斯迪克,sdk,300806.SZ,江苏,塑料,20191125
3802,300515,三德科技,sdkj,300515.SZ,湖南,电器仪表,20160608
3803,002526,山东矿机,sdkj,002526.SZ,山东,工程机械,20101217
3804,002588,史丹利,sdl,002588.SZ,山东,农药化肥,20110610
3805,000498,山东路桥,sdlq,000498.SZ,山东,建筑工程,19970609
3806,688101,三达膜,sdm,688101.SH,陕西,环境保护,20191115
3807,002490,山东墨龙,sdml,002490.SZ,山东,化工机械,20101021
3808,603079,圣达生物,sdsw,603079.SH,浙江,食品,20170823
3809,002026,山东威达,sdwd,002026.SZ,山东,机械基件,20040727
